datetime,timestamp_desc,source,source_long,message,parser,display_name,tag
2023-12-26 00:45:24.663163+00:00,Content Modification Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\google-trackwhite-digest256.sbstore Type: file,filestat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\google-trackwhite-digest256.sbstore,-
2023-12-26 00:45:24.678282+00:00,Metadata Modification Time,FILE,NTFS USN change,google-trackwhite-digest256.sbstore File reference: 245077-1 Parent file reference: 245063-1 Update source:  Update reason: USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.678282+00:00,Metadata Modification Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\google-trackwhite-digest256.sbstore Type: file,filestat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\google-trackwhite-digest256.sbstore,-
2023-12-26 00:45:24.695000+00:00,Creation Time,WEBHIST,Firefox Cache,https://google.com/ (1P_JAR) Flags: [HTTP only]: False,sqlite/firefox_10_cookies,NTFS:\Users\User\AppData\Roaming\Mozilla\Firefox\Profiles\my7atezl.default-release\cookies.sqlite,-
2023-12-26 00:45:24.695000+00:00,Last Access Time,WEBHIST,Firefox Cache,https://google.com/ (AEC) Flags: [HTTP only]: True,sqlite/firefox_10_cookies,NTFS:\Users\User\AppData\Roaming\Mozilla\Firefox\Profiles\my7atezl.default-release\cookies.sqlite,-
2023-12-26 00:45:24.695000+00:00,Creation Time,WEBHIST,Firefox Cache,https://google.com/ (1P_JAR) Flags: [HTTP only]: False,sqlite/firefox_10_cookies,NTFS:\Users\User\AppData\Roaming\Mozilla\Firefox\Profiles\my7atezl.default-release\cookies.sqlite-wal,-
2023-12-26 00:45:24.695000+00:00,Last Access Time,WEBHIST,Firefox Cache,https://google.com/ (AEC) Flags: [HTTP only]: True,sqlite/firefox_10_cookies,NTFS:\Users\User\AppData\Roaming\Mozilla\Firefox\Profiles\my7atezl.default-release\cookies.sqlite-wal,-
2023-12-26 00:45:24.695001+00:00,Creation Time,WEBHIST,Firefox Cache,https://google.com/ (AEC) Flags: [HTTP only]: True,sqlite/firefox_10_cookies,NTFS:\Users\User\AppData\Roaming\Mozilla\Firefox\Profiles\my7atezl.default-release\cookies.sqlite,-
2023-12-26 00:45:24.695001+00:00,Creation Time,WEBHIST,Firefox Cache,https://google.com/ (AEC) Flags: [HTTP only]: True,sqlite/firefox_10_cookies,NTFS:\Users\User\AppData\Roaming\Mozilla\Firefox\Profiles\my7atezl.default-release\cookies.sqlite-wal,-
2023-12-26 00:45:24.695002+00:00,Creation Time,WEBHIST,Firefox Cache,https://google.com/ (NID) Flags: [HTTP only]: True,sqlite/firefox_10_cookies,NTFS:\Users\User\AppData\Roaming\Mozilla\Firefox\Profiles\my7atezl.default-release\cookies.sqlite,-
2023-12-26 00:45:24.695002+00:00,Creation Time,WEBHIST,Firefox Cache,https://google.com/ (NID) Flags: [HTTP only]: True,sqlite/firefox_10_cookies,NTFS:\Users\User\AppData\Roaming\Mozilla\Firefox\Profiles\my7atezl.default-release\cookies.sqlite-wal,-
2023-12-26 00:45:24.695301+00:00,Metadata Modification Time,FILE,NTFS USN change,AlternateServices.bin File reference: 245078-1 Parent file reference: 244337-3 Update source:  Update reason: USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.695301+00:00,Metadata Modification Time,FILE,NTFS USN change,AlternateServices.bin File reference: 245078-1 Parent file reference: 244337-3 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.695301+00:00,Metadata Modification Time,FILE,NTFS USN change,AlternateServices.bin File reference: 245078-1 Parent file reference: 244337-3 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.695301+00:00,Metadata Modification Time,FILE,NTFS USN change,AlternateServices.bin File reference: 245078-1 Parent file reference: 244337-3 Update source:  Update reason: USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.695301+00:00,Metadata Modification Time,FILE,NTFS USN change,SiteSecurityServiceState.bin File reference: 134428-9 Parent file reference: 244337-3 Update source:  Update reason: USN_REASON_DATA_EXTEND,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.695301+00:00,Metadata Modification Time,FILE,NTFS USN change,SiteSecurityServiceState.bin File reference: 134428-9 Parent file reference: 244337-3 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_DATA_EXTEND,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.695301+00:00,Metadata Modification Time,FILE,NTFS USN change,SiteSecurityServiceState.bin File reference: 134428-9 Parent file reference: 244337-3 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_DATA_EXTEND  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.695301+00:00,Metadata Modification Time,FILE,NTFS USN change,cookies.sqlite-wal File reference: 244351-4 Parent file reference: 244337-3 Update source:  Update reason: USN_REASON_DATA_EXTEND,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.695301+00:00,Metadata Modification Time,FILE,NTFS USN change,permissions.sqlite-journal File reference: 245079-1 Parent file reference: 244337-3 Update source:  Update reason: USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.695301+00:00,Metadata Modification Time,FILE,NTFS USN change,permissions.sqlite-journal File reference: 245079-1 Parent file reference: 244337-3 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.695301+00:00,Metadata Modification Time,FILE,NTFS USN change,permissions.sqlite-journal File reference: 245079-1 Parent file reference: 244337-3 Update source:  Update reason: USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.695301+00:00,Creation Time,FILE,File stat,NTFS:\Users\User\AppData\Roaming\Mozilla\Firefox\Profiles\my7atezl.default-release\AlternateServices.bin Type: file,filestat,NTFS:\Users\User\AppData\Roaming\Mozilla\Firefox\Profiles\my7atezl.default-release\AlternateServices.bin,-
2023-12-26 00:45:24.727191+00:00,Metadata Modification Time,FILE,NTFS USN change,permissions.sqlite File reference: 244361-3 Parent file reference: 244337-3 Update source:  Update reason: USN_REASON_DATA_OVERWRITE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.742941+00:00,Metadata Modification Time,FILE,NTFS USN change,google-trackwhite-digest256.vlpset File reference: 245080-1 Parent file reference: 245063-1 Update source:  Update reason: USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.742941+00:00,Metadata Modification Time,FILE,NTFS USN change,google-trackwhite-digest256.vlpset File reference: 245080-1 Parent file reference: 245063-1 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.742941+00:00,Metadata Modification Time,FILE,NTFS USN change,google-trackwhite-digest256.vlpset File reference: 245080-1 Parent file reference: 245063-1 Update source:  Update reason: USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.742941+00:00,Metadata Modification Time,FILE,NTFS USN change,permissions.sqlite-journal File reference: 245079-1 Parent file reference: 244337-3 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.742941+00:00,Metadata Modification Time,FILE,NTFS USN change,permissions.sqlite-journal File reference: 245079-1 Parent file reference: 244337-3 Update source:  Update reason: USN_REASON_FILE_DELETE  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.765650+00:00,Content Modification Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\google-trackwhite-digest256.vlpset Type: file,filestat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\google-trackwhite-digest256.vlpset,-
2023-12-26 00:45:24.782288+00:00,Metadata Modification Time,FILE,NTFS USN change,google-trackwhite-digest256.vlpset File reference: 245080-1 Parent file reference: 245063-1 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.782288+00:00,Metadata Modification Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\google-trackwhite-digest256.vlpset Type: file,filestat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\google-trackwhite-digest256.vlpset,-
2023-12-26 00:45:24.798605+00:00,Metadata Modification Time,FILE,NTFS USN change,base-fingerprinting-track-digest256.sbstore File reference: 245079-2 Parent file reference: 245063-1 Update source:  Update reason: USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.798605+00:00,Metadata Modification Time,FILE,NTFS USN change,base-fingerprinting-track-digest256.sbstore File reference: 245079-2 Parent file reference: 245063-1 Update source:  Update reason: USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.798605+00:00,Content Modification Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\base-fingerprinting-track-digest256.sbstore Type: file,filestat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\base-fingerprinting-track-digest256.sbstore,-
2023-12-26 00:45:24.814852+00:00,Metadata Modification Time,FILE,NTFS USN change,base-fingerprinting-track-digest256.sbstore File reference: 245079-2 Parent file reference: 245063-1 Update source:  Update reason: USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.814852+00:00,Metadata Modification Time,FILE,NTFS USN change,base-fingerprinting-track-digest256.vlpset File reference: 245081-1 Parent file reference: 245063-1 Update source:  Update reason: USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.814852+00:00,Metadata Modification Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\base-fingerprinting-track-digest256.sbstore Type: file,filestat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\base-fingerprinting-track-digest256.sbstore,-
2023-12-26 00:45:24.831000+00:00,Last Visited Time,WEBHIST,Firefox History,https://www.google.com/?gws_rd=ssl (Google) [count: 1] Host: www.google.com visited from: http://www.google.com/ (www.google.com) (URL not typed directly) Transition: REDIRECT_TEMPORARY,sqlite/firefox_history,NTFS:\Users\User\AppData\Roaming\Mozilla\Firefox\Profiles\my7atezl.default-release\places.sqlite,-
2023-12-26 00:45:24.831000+00:00,Last Visited Time,WEBHIST,Firefox History,https://www.google.com/?gws_rd=ssl (Google) [count: 1] Host: www.google.com visited from: http://www.google.com/ (www.google.com) (URL not typed directly) Transition: REDIRECT_TEMPORARY,sqlite/firefox_history,NTFS:\Users\User\AppData\Roaming\Mozilla\Firefox\Profiles\my7atezl.default-release\places.sqlite-wal,-
2023-12-26 00:45:24.831414+00:00,Metadata Modification Time,FILE,NTFS USN change,base-fingerprinting-track-digest256.vlpset File reference: 245081-1 Parent file reference: 245063-1 Update source:  Update reason: USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.831414+00:00,Metadata Modification Time,FILE,NTFS USN change,base-fingerprinting-track-digest256.vlpset File reference: 245081-1 Parent file reference: 245063-1 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.831414+00:00,Metadata Modification Time,FILE,NTFS USN change,base-fingerprinting-track-digest256.vlpset File reference: 245081-1 Parent file reference: 245063-1 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.831414+00:00,Content Modification Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\base-fingerprinting-track-digest256.vlpset Type: file,filestat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\base-fingerprinting-track-digest256.vlpset,-
2023-12-26 00:45:24.831414+00:00,Metadata Modification Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\base-fingerprinting-track-digest256.vlpset Type: file,filestat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\base-fingerprinting-track-digest256.vlpset,-
2023-12-26 00:45:24.850609+00:00,Metadata Modification Time,FILE,NTFS USN change,base-cryptomining-track-digest256.sbstore File reference: 245082-1 Parent file reference: 245063-1 Update source:  Update reason: USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.850609+00:00,Metadata Modification Time,FILE,NTFS USN change,base-cryptomining-track-digest256.sbstore File reference: 245082-1 Parent file reference: 245063-1 Update source:  Update reason: USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.850609+00:00,Metadata Modification Time,FILE,NTFS USN change,base-cryptomining-track-digest256.sbstore File reference: 245082-1 Parent file reference: 245063-1 Update source:  Update reason: USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.850609+00:00,Content Modification Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\base-cryptomining-track-digest256.sbstore Type: file,filestat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\base-cryptomining-track-digest256.sbstore,-
2023-12-26 00:45:24.850609+00:00,Metadata Modification Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\base-cryptomining-track-digest256.sbstore Type: file,filestat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\base-cryptomining-track-digest256.sbstore,-
2023-12-26 00:45:24.867198+00:00,Metadata Modification Time,FILE,NTFS USN change,base-cryptomining-track-digest256.vlpset File reference: 245083-1 Parent file reference: 245063-1 Update source:  Update reason: USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.867198+00:00,Metadata Modification Time,FILE,NTFS USN change,base-cryptomining-track-digest256.vlpset File reference: 245083-1 Parent file reference: 245063-1 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.867198+00:00,Metadata Modification Time,FILE,NTFS USN change,base-cryptomining-track-digest256.vlpset File reference: 245083-1 Parent file reference: 245063-1 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.867198+00:00,Metadata Modification Time,FILE,NTFS USN change,base-cryptomining-track-digest256.vlpset File reference: 245083-1 Parent file reference: 245063-1 Update source:  Update reason: USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.867198+00:00,Metadata Modification Time,FILE,NTFS USN change,social-tracking-protection-facebook-digest256.sbstore File reference: 245084-1 Parent file reference: 245063-1 Update source:  Update reason: USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.867198+00:00,Content Modification Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\base-cryptomining-track-digest256.vlpset Type: file,filestat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\base-cryptomining-track-digest256.vlpset,-
2023-12-26 00:45:24.867198+00:00,Metadata Modification Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\base-cryptomining-track-digest256.vlpset Type: file,filestat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\base-cryptomining-track-digest256.vlpset,-
2023-12-26 00:45:24.882780+00:00,Metadata Modification Time,FILE,NTFS USN change,social-tracking-protection-facebook-digest256.sbstore File reference: 245084-1 Parent file reference: 245063-1 Update source:  Update reason: USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.882780+00:00,Content Modification Time,FILE,File stat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\social-tracking-protection-facebook-digest256.sbstore Type: file,filestat,NTFS:\Users\User\AppData\Local\Mozilla\Firefox\Profiles\my7atezl.default-release\safebrowsing\social-tracking-protection-facebook-digest256.sbstore,-
2023-12-26 00:45:24.899397+00:00,Metadata Modification Time,FILE,NTFS USN change,social-tracking-protection-facebook-digest256.sbstore File reference: 245084-1 Parent file reference: 245063-1 Update source:  Update reason: USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE  USN_REASON_CLOSE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.899397+00:00,Metadata Modification Time,FILE,NTFS USN change,social-tracking-protection-facebook-digest256.vlpset File reference: 245085-1 Parent file reference: 245063-1 Update source:  Update reason: USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
2023-12-26 00:45:24.899397+00:00,Metadata Modification Time,FILE,NTFS USN change,social-tracking-protection-facebook-digest256.vlpset File reference: 245085-1 Parent file reference: 245063-1 Update source:  Update reason: USN_REASON_DATA_OVERWRITE  USN_REASON_DATA_EXTEND  USN_REASON_FILE_CREATE,usnjrnl,NTFS:\$Extend\$UsnJrnl:$J,-
